,Zahlen vom 23.02.2022,vor einer Woche
Neue Fälle,519,566
Fälle gesamt,55444,52461
Todesfälle neu,0,2
Todesfälle gesamt,271,270
Infizierte im Spital,82,123
davon auf der Intensiv-Station,10,8
