,Zahlen vom 16.11.2021,vor einer Woche
Neue Fälle,193,117
Fälle gesamt,25630,24572
Todesfälle neu,0,2
Todesfälle gesamt,235,234
Infizierte im Spital,30,21
davon auf der Intensiv-Station,3,1
