,Zahlen vom 27.07.2021,vor einer Woche
Neue Fälle,19,12
Fälle gesamt,18621,18452
Todesfälle neu,0,0
Todesfälle gesamt,219,219
Infizierte im Spital,1,1
davon auf der Intensiv-Station,1,1
