,Zahlen vom 26.10.2021,vor einer Woche
Neue Fälle,45,33
Fälle gesamt,23434,23164
Todesfälle neu,0,0
Todesfälle gesamt,229,229
Infizierte im Spital,6,8
davon auf der Intensiv-Station,2,0
