,Zahlen vom 07.02.2022,vor einer Woche
Neue Fälle,286,443
Fälle gesamt,47989,43636
Todesfälle neu,0,0
Todesfälle gesamt,264,262
Infizierte im Spital,136,136
davon auf der Intensiv-Station,15,14
