,Zahlen vom 13.02.2022,vor einer Woche
Neue Fälle,437,675
Fälle gesamt,77996,71890
Todesfälle neu,0,0
Todesfälle gesamt,274,272
Infizierte im Spital,35,46
davon auf der Intensiv-Station,5,3
