,Zahlen vom 29.12.2021,vor einer Woche
Neue Fälle,216,174
Fälle gesamt,25530,24386
Todesfälle neu,0,2
Todesfälle gesamt,250,246
Infizierte im Spital,85,89
davon auf der Intensiv-Station,18,19
