,Zahlen vom 26.09.2021,vor einer Woche
Neue Fälle,16,20
Fälle gesamt,22621,22402
Todesfälle neu,0,0
Todesfälle gesamt,227,226
Infizierte im Spital,7,11
davon auf der Intensiv-Station,1,2
