,Zahlen vom 16.11.2021,vor einer Woche
Neue Fälle,97,101
Fälle gesamt,17747,17140
Todesfälle neu,0,1
Todesfälle gesamt,223,218
Infizierte im Spital,48,36
davon auf der Intensiv-Station,5,5
