,Zahlen vom 02.11.2021,vor einer Woche
Neue Fälle,76,55
Fälle gesamt,23887,23448
Todesfälle neu,0,0
Todesfälle gesamt,230,229
Infizierte im Spital,12,6
davon auf der Intensiv-Station,1,2
