,Zahlen vom 07.09.2021,vor einer Woche
Neue Fälle,52,36
Fälle gesamt,15532,15209
Todesfälle neu,0,0
Todesfälle gesamt,211,211
Infizierte im Spital,38,38
davon auf der Intensiv-Station,14,12
