,Zahlen vom 08.08.2021,vor einer Woche
Neue Fälle,53,27
Fälle gesamt,19088,18770
Todesfälle neu,0,0
Todesfälle gesamt,219,219
Infizierte im Spital,5,2
davon auf der Intensiv-Station,1,0
