,Zahlen vom 18.08.2021,vor einer Woche
Neue Fälle,108,81
Fälle gesamt,20104,19368
Todesfälle neu,0,0
Todesfälle gesamt,222,220
Infizierte im Spital,19,5
davon auf der Intensiv-Station,3,0
