,Zahlen vom 20.07.2021,vor einer Woche
Neue Fälle,13,8
Fälle gesamt,13155,13035
Todesfälle neu,0,0
Todesfälle gesamt,205,205
Infizierte im Spital,6,3
davon auf der Intensiv-Station,3,3
