,Zahlen vom 11.10.2021,vor einer Woche
Neue Fälle,28,29
Fälle gesamt,22964,22845
Todesfälle neu,1,0
Todesfälle gesamt,228,227
Infizierte im Spital,8,6
davon auf der Intensiv-Station,0,2
