,Zahlen vom 13.07.2021,vor einer Woche
Neue Fälle,8,1
Fälle gesamt,13035,12988
Todesfälle neu,0,0
Todesfälle gesamt,205,205
Infizierte im Spital,3,3
davon auf der Intensiv-Station,3,2
