,Zahlen vom 26.07.2021,vor einer Woche
Neue Fälle,13,7
Fälle gesamt,13263,13142
Todesfälle neu,0,0
Todesfälle gesamt,205,205
Infizierte im Spital,10,6
davon auf der Intensiv-Station,2,3
