,Zahlen vom 27.02.2022,vor einer Woche
Neue Fälle,414,405
Fälle gesamt,87440,82851
Todesfälle neu,0,0
Todesfälle gesamt,276,276
Infizierte im Spital,38,35
davon auf der Intensiv-Station,2,3
