,Zahlen vom 15.07.2021,vor einer Woche
Neue Fälle,20,6
Fälle gesamt,13084,12999
Todesfälle neu,0,0
Todesfälle gesamt,205,205
Infizierte im Spital,5,2
davon auf der Intensiv-Station,3,2
