,Zahlen vom 20.12.2021,vor einer Woche
Neue Fälle,356,427
Fälle gesamt,35412,33484
Todesfälle neu,0,0
Todesfälle gesamt,256,251
Infizierte im Spital,54,76
davon auf der Intensiv-Station,5,7
