,Zahlen vom 11.11.2021,vor einer Woche
Neue Fälle,99,77
Fälle gesamt,17326,16843
Todesfälle neu,0,0
Todesfälle gesamt,220,217
Infizierte im Spital,35,27
davon auf der Intensiv-Station,5,5
