,Zahlen vom 02.08.2021,vor einer Woche
Neue Fälle,46,34
Fälle gesamt,18818,18602
Todesfälle neu,0,0
Todesfälle gesamt,219,219
Infizierte im Spital,3,1
davon auf der Intensiv-Station,0,1
