,Zahlen vom 12.12.2021,vor einer Woche
Neue Fälle,178,236
Fälle gesamt,33055,30778
Todesfälle neu,0,0
Todesfälle gesamt,251,245
Infizierte im Spital,73,58
davon auf der Intensiv-Station,7,4
