,Zahlen vom 26.07.2021,vor einer Woche
Neue Fälle,34,39
Fälle gesamt,18602,18440
Todesfälle neu,0,0
Todesfälle gesamt,219,219
Infizierte im Spital,1,1
davon auf der Intensiv-Station,1,1
