,Zahlen vom 16.03.2022,vor einer Woche
Neue Fälle,1295,513
Fälle gesamt,67738,61408
Todesfälle neu,1,0
Todesfälle gesamt,274,273
Infizierte im Spital,130,111
davon auf der Intensiv-Station,11,4
