,Zahlen vom 28.07.2021,vor einer Woche
Neue Fälle,23,19
Fälle gesamt,13315,13174
Todesfälle neu,2,0
Todesfälle gesamt,207,205
Infizierte im Spital,8,7
davon auf der Intensiv-Station,1,3
