,Zahlen vom 15.11.2021,vor einer Woche
Neue Fälle,263,150
Fälle gesamt,25436,24455
Todesfälle neu,0,0
Todesfälle gesamt,235,232
Infizierte im Spital,38,21
davon auf der Intensiv-Station,2,1
