,Zahlen vom 26.10.2021,vor einer Woche
Neue Fälle,42,25
Fälle gesamt,16505,16338
Todesfälle neu,0,0
Todesfälle gesamt,215,215
Infizierte im Spital,17,9
davon auf der Intensiv-Station,2,4
