,Zahlen vom 17.11.2021,vor einer Woche
Neue Fälle,104,87
Fälle gesamt,17851,17227
Todesfälle neu,0,2
Todesfälle gesamt,223,220
Infizierte im Spital,48,38
davon auf der Intensiv-Station,5,5
