,Zahlen vom 19.01.2022,vor einer Woche
Neue Fälle,783,615
Fälle gesamt,34634,30681
Todesfälle neu,2,1
Todesfälle gesamt,259,256
Infizierte im Spital,82,91
davon auf der Intensiv-Station,15,19
