,Zahlen vom 16.12.2021,vor einer Woche
Neue Fälle,273,334
Fälle gesamt,34397,32366
Todesfälle neu,1,2
Todesfälle gesamt,253,251
Infizierte im Spital,57,69
davon auf der Intensiv-Station,7,8
