,Zahlen vom 25.08.2021,vor einer Woche
Neue Fälle,91,108
Fälle gesamt,20773,20105
Todesfälle neu,0,0
Todesfälle gesamt,224,222
Infizierte im Spital,22,19
davon auf der Intensiv-Station,6,3
