,Zahlen vom 26.12.2021,vor einer Woche
Neue Fälle,212,160
Fälle gesamt,36953,35056
Todesfälle neu,1,0
Todesfälle gesamt,258,256
Infizierte im Spital,49,59
davon auf der Intensiv-Station,6,6
