,Zahlen vom 24.08.2021,vor einer Woche
Neue Fälle,75,131
Fälle gesamt,20643,19997
Todesfälle neu,0,0
Todesfälle gesamt,224,222
Infizierte im Spital,21,20
davon auf der Intensiv-Station,4,3
