,Zahlen vom 14.09.2021,vor einer Woche
Neue Fälle,60,73
Fälle gesamt,22215,21819
Todesfälle neu,0,0
Todesfälle gesamt,226,225
Infizierte im Spital,12,14
davon auf der Intensiv-Station,3,3
