,Zahlen vom 07.07.2021,vor einer Woche
Neue Fälle,5,3
Fälle gesamt,12993,12966
Todesfälle neu,0,0
Todesfälle gesamt,205,205
Infizierte im Spital,2,8
davon auf der Intensiv-Station,2,3
