,Zahlen vom 10.08.2021,vor einer Woche
Neue Fälle,42,46
Fälle gesamt,13831,13544
Todesfälle neu,0,0
Todesfälle gesamt,208,207
Infizierte im Spital,15,9
davon auf der Intensiv-Station,3,1
