,Zahlen vom 12.01.2022,vor einer Woche
Neue Fälle,615,573
Fälle gesamt,30681,27527
Todesfälle neu,1,0
Todesfälle gesamt,256,252
Infizierte im Spital,91,79
davon auf der Intensiv-Station,18,19
