,Zahlen vom 24.01.2022,vor einer Woche
Neue Fälle,378,360
Fälle gesamt,38307,33282
Todesfälle neu,0,0
Todesfälle gesamt,260,256
Infizierte im Spital,92,89
davon auf der Intensiv-Station,16,21
