,Zahlen vom 02.12.2021,vor einer Woche
Neue Fälle,269,280
Fälle gesamt,29839,27705
Todesfälle neu,0,0
Todesfälle gesamt,241,238
Infizierte im Spital,58,40
davon auf der Intensiv-Station,7,7
