,Zahlen vom 31.01.2022,vor einer Woche
Neue Fälle,443,378
Fälle gesamt,43636,38307
Todesfälle neu,0,0
Todesfälle gesamt,262,260
Infizierte im Spital,133,95
davon auf der Intensiv-Station,13,15
