,Zahlen vom 23.11.2021,vor einer Woche
Neue Fälle,151,97
Fälle gesamt,18793,17747
Todesfälle neu,0,0
Todesfälle gesamt,224,223
Infizierte im Spital,80,48
davon auf der Intensiv-Station,11,5
