,Zahlen vom 02.08.2021,vor einer Woche
Neue Fälle,26,13
Fälle gesamt,13498,13263
Todesfälle neu,0,0
Todesfälle gesamt,207,205
Infizierte im Spital,4,10
davon auf der Intensiv-Station,0,2
