,Zahlen vom 20.09.2021,vor einer Woche
Neue Fälle,7,17
Fälle gesamt,15971,15796
Todesfälle neu,0,0
Todesfälle gesamt,212,212
Infizierte im Spital,34,28
davon auf der Intensiv-Station,12,12
