,Zahlen vom 12.07.2021,vor einer Woche
Neue Fälle,11,5
Fälle gesamt,13027,12987
Todesfälle neu,0,0
Todesfälle gesamt,205,205
Infizierte im Spital,3,4
davon auf der Intensiv-Station,3,2
