,Zahlen vom 12.09.2021,vor einer Woche
Neue Fälle,27,57
Fälle gesamt,22081,21640
Todesfälle neu,0,0
Todesfälle gesamt,226,224
Infizierte im Spital,8,11
davon auf der Intensiv-Station,4,3
