,Zahlen vom 25.07.2021,vor einer Woche
Neue Fälle,18,17
Fälle gesamt,18568,18401
Todesfälle neu,0,0
Todesfälle gesamt,219,219
Infizierte im Spital,1,0
davon auf der Intensiv-Station,1,0
