,Zahlen vom 14.12.2021,vor einer Woche
Neue Fälle,167,222
Fälle gesamt,23095,21807
Todesfälle neu,3,2
Todesfälle gesamt,244,235
Infizierte im Spital,89,104
davon auf der Intensiv-Station,16,10
