,Zahlen vom 01.09.2021,vor einer Woche
Neue Fälle,57,92
Fälle gesamt,15266,14869
Todesfälle neu,0,0
Todesfälle gesamt,211,210
Infizierte im Spital,40,45
davon auf der Intensiv-Station,13,10
