,Zahlen vom 05.01.2022,vor einer Woche
Neue Fälle,778,455
Fälle gesamt,41921,38288
Todesfälle neu,0,0
Todesfälle gesamt,261,259
Infizierte im Spital,53,60
davon auf der Intensiv-Station,6,7
