,Zahlen vom 08.07.2021,vor einer Woche
Neue Fälle,6,2
Fälle gesamt,12999,12968
Todesfälle neu,0,0
Todesfälle gesamt,205,205
Infizierte im Spital,2,8
davon auf der Intensiv-Station,2,3
