,Zahlen vom 09.08.2021,vor einer Woche
Neue Fälle,32,26
Fälle gesamt,13789,13498
Todesfälle neu,0,0
Todesfälle gesamt,208,207
Infizierte im Spital,8,4
davon auf der Intensiv-Station,2,0
