,Zahlen vom 09.02.2022,vor einer Woche
Neue Fälle,567,863
Fälle gesamt,49122,45235
Todesfälle neu,0,2
Todesfälle gesamt,265,264
Infizierte im Spital,133,137
davon auf der Intensiv-Station,11,11
