,Zahlen vom 09.12.2021,vor einer Woche
Neue Fälle,270,382
Fälle gesamt,32289,29958
Todesfälle neu,1,1
Todesfälle gesamt,249,242
Infizierte im Spital,69,65
davon auf der Intensiv-Station,8,7
