,Zahlen vom 07.03.2022,vor einer Woche
Neue Fälle,1058,919
Fälle gesamt,94176,88366
Todesfälle neu,0,0
Todesfälle gesamt,277,276
Infizierte im Spital,42,38
davon auf der Intensiv-Station,3,2
