,Zahlen vom 13.07.2021,vor einer Woche
Neue Fälle,18,5
Fälle gesamt,18328,18255
Todesfälle neu,0,0
Todesfälle gesamt,219,219
Infizierte im Spital,1,1
davon auf der Intensiv-Station,0,1
