,Zahlen vom 06.10.2021,vor einer Woche
Neue Fälle,9,10
Fälle gesamt,16195,16116
Todesfälle neu,0,0
Todesfälle gesamt,213,213
Infizierte im Spital,19,26
davon auf der Intensiv-Station,6,11
