,Zahlen vom 19.08.2021,vor einer Woche
Neue Fälle,100,53
Fälle gesamt,14470,13945
Todesfälle neu,0,0
Todesfälle gesamt,209,208
Infizierte im Spital,36,19
davon auf der Intensiv-Station,7,4
