,Zahlen vom 30.11.2021,vor einer Woche
Neue Fälle,378,266
Fälle gesamt,29172,27150
Todesfälle neu,0,0
Todesfälle gesamt,241,238
Infizierte im Spital,68,41
davon auf der Intensiv-Station,7,3
