,Zahlen vom 01.12.2021,vor einer Woche
Neue Fälle,326,201
Fälle gesamt,20518,18994
Todesfälle neu,3,0
Todesfälle gesamt,230,224
Infizierte im Spital,100,86
davon auf der Intensiv-Station,14,12
