,Zahlen vom 20.08.2021,vor einer Woche
Neue Fälle,91,60
Fälle gesamt,14561,14005
Todesfälle neu,0,0
Todesfälle gesamt,209,208
Infizierte im Spital,37,21
davon auf der Intensiv-Station,9,6
