,Zahlen vom 12.11.2021,vor einer Woche
Neue Fälle,125,72
Fälle gesamt,17451,16915
Todesfälle neu,2,0
Todesfälle gesamt,222,217
Infizierte im Spital,37,31
davon auf der Intensiv-Station,6,5
