,Zahlen vom 16.08.2021,vor einer Woche
Neue Fälle,208,125
Fälle gesamt,19865,19223
Todesfälle neu,1,1
Todesfälle gesamt,222,220
Infizierte im Spital,17,6
davon auf der Intensiv-Station,0,1
