,Zahlen vom 22.09.2021,vor einer Woche
Neue Fälle,16,29
Fälle gesamt,16003,15859
Todesfälle neu,0,0
Todesfälle gesamt,212,212
Infizierte im Spital,32,25
davon auf der Intensiv-Station,14,12
